Date,Total Sunspot,Max Size,Zurich Class,Penumbra Class,Compactness Class,NS,Lat,EW,Lan,X-ray class,X-ray intensity
1982-02-05,29.0,300.0,E,K,O,N,12,W,53,0,0.0
1982-02-05,29.0,1090.0,F,K,I,S,13,W,48,M,4.7
1982-02-05,3.0,10.0,B,X,O,S,12,W,67,0,0.0
1982-02-05,6.0,170.0,C,S,O,N,9,W,36,0,0.0
1982-02-05,28.0,140.0,E,A,O,N,17,W,30,0,0.0
1982-02-05,43.0,140.0,E,K,I,S,19,W,14,0,0.0
1982-02-05,9.0,80.0,D,R,O,S,13,W,11,0,0.0
1982-02-05,17.0,40.0,C,A,O,S,18,E,3,C,2.8
1982-02-05,1.0,10.0,A,X,X,S,15,E,10,0,0.0
1982-02-05,21.0,50.0,E,A,O,S,5,E,18,0,0.0
1982-02-05,20.0,80.0,D,A,O,N,17,W,21,0,0.0
1982-02-05,2.0,10.0,A,X,X,S,17,E,48,0,0.0
1982-02-05,62.0,2540.0,F,K,C,S,8,E,66,C,7.6
1982-02-05,6.0,10.0,B,X,O,S,4,W,25,0,0.0
1982-02-05,1.0,30.0,H,S,X,N,21,E,22,0,0.0
1982-02-05,2.0,280.0,D,A,O,S,9,E,85,0,0.0
1982-02-06,2.0,120.0,C,K,O,N,10,W,80,0,0.0
1982-02-06,23.0,1020.0,F,K,O,S,13,W,72,M,6.5
1982-02-06,6.0,140.0,D,K,O,N,11,W,65,0,0.0
1982-02-06,3.0,60.0,H,S,O,N,16,W,50,C,4.8
1982-02-06,32.0,190.0,E,K,I,S,18,W,33,0,0.0
1982-02-06,5.0,40.0,C,A,O,S,18,W,19,0,0.0
1982-02-06,1.0,10.0,A,X,X,S,15,W,12,0,0.0
1982-02-06,8.0,20.0,C,S,O,S,5,W,9,0,0.0
1982-02-06,26.0,220.0,D,K,I,N,16,W,34,0,0.0
1982-02-06,92.0,2670.0,F,K,C,S,9,E,54,M,1.8
1982-02-06,30.0,160.0,D,K,O,S,6,W,39,C,3.5
1982-02-06,3.0,10.0,B,X,O,N,21,E,12,0,0.0
1982-02-06,2.0,20.0,C,A,O,S,15,E,67,0,0.0
1982-02-06,2.0,60.0,C,K,O,N,1,E,71,0,0.0
1982-02-06,2.0,20.0,C,A,O,S,20,E,47,0,0.0
1982-02-06,1.0,120.0,H,A,X,N,13,E,71,0,0.0
1982-02-07,13.0,200.0,F,K,O,S,18,W,78,X,1.0
1982-02-07,9.0,180.0,H,K,O,N,10,W,74,0,0.0
1982-02-07,1.0,60.0,H,S,X,N,16,W,64,0,0.0
1982-02-07,44.0,240.0,E,K,O,S,18,W,47,C,4.6
1982-02-07,9.0,20.0,C,A,O,S,19,W,29,0,0.0
1982-02-07,16.0,20.0,D,A,O,S,5,W,25,0,0.0
1982-02-07,58.0,330.0,E,K,O,N,15,W,52,0,0.0
1982-02-07,8.0,20.0,B,X,O,S,16,E,12,0,0.0
1982-02-07,207.0,2640.0,F,K,C,S,9,E,40,M,3.6
1982-02-07,43.0,230.0,D,K,O,S,5,W,56,0,0.0
1982-02-07,8.0,50.0,C,S,O,S,12,E,53,0,0.0
1982-02-07,6.0,160.0,H,K,X,N,1,E,59,0,0.0
1982-02-07,26.0,40.0,C,S,O,S,19,E,28,0,0.0
1982-02-07,2.0,50.0,H,S,X,S,8,E,68,0,0.0
1982-02-07,8.0,300.0,H,K,O,S,13,E,78,0,0.0
1982-02-07,1.0,70.0,H,S,X,N,16,E,82,0,0.0
1982-02-07,3.0,20.0,B,X,O,N,25,E,27,0,0.0
